Ref,Val,Package,PosX,PosY,Rot,Side
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",-33.923294,10.380446,-50.000000,bottom
"C1","C_100n_0603_50V","C_0603_1608Metric",13.690000,3.960000,50.000000,top
"C2","C_1u_0603_50V","C_0603_1608Metric",27.100000,3.200000,90.000000,top
"D1","LED","LED_PLCC-2",37.700000,16.500000,79.000000,top
"D2","LED","LED_PLCC-2",2.800000,15.000000,-74.000000,top
"D3","LED","LED_PLCC-2",9.500000,5.500000,-40.000000,top
"D4","LED","LED_PLCC-2",7.300000,32.700000,-135.000000,top
"D5","LED","LED_PLCC-2",2.700000,25.000000,-107.000000,top
"D6","LED","LED_PLCC-2",21.300000,2.100000,0.000000,top
"D7","LED","LED_PLCC-2",31.200000,5.800000,38.000000,top
"FID1","Fiducial","Fiducial_1mm_Mask2mm",34.300000,18.100000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",4.600000,9.600000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",12.700000,32.400000,0.000000,top
"R1","90R","R_0805_2012Metric",10.400000,35.100000,-45.000000,top
"R2","90R","R_0805_2012Metric",17.640000,2.360000,-90.000000,top
